X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB;;;;;;;;;;
1998630,5736707,671010,,543601,0,0,0,1,1,South,2006,SH 2,RAKAUROA ROAD,,Non-Injury Crash,Yes,2005,0,South,0,0,0,Hill Road,0,,0,,0,Bright sun,1352200,0,0,0,2,0,0,0,0,0,,0,0,Gisborne Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,28,Gisborne District,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null;;;;;;;;;;
1767195,5900124,671011,,525101,0,,0,1,,East,2008,WEYMOUTH ROAD,MINTON PLACE,,Non-Injury Crash,No,2007,,West,,0,,Flat,,,,,,Bright sun,772903,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,1,0,,76,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
1753164,5970552,671012,,506631,0,,0,1,,Null,2007,MAHURANGI EAST ROAD,SANDSPIT ROAD,,Non-Injury Crash,No,2007,,East,,0,,Flat,,,,,,Bright sun,139501,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,100,,None,0,0,,76,Auckland,Give way,,,,,0,0,Open,1,,,Fine,Null;;;;;;;;;;
1840487,5664323,671013,,541501,0,0,0,1,0,South,2013,SH 1N,KAIMANAWA ROAD,,Non-Injury Crash,Yes,2012,0,South,0,0,0,Flat,0,,0,,0,Overcast,1288900,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,21,Taupo District,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null;;;;;;;;;;
1749571,5932877,671014,,509000,0,,0,1,,North,2013,PAREMOREMO ROAD,GODLEY LANE,,Minor Crash,No,2013,,South,,0,,Flat,,,,,,Dark,179303,1,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,80,,None,0,0,,76,Auckland,Nil,,,,,0,0,Open,0,,,Fine,Null;;;;;;;;;;
1760789,5437447,671015,,568402,0,0,0,0,0,North,2001,Z RIVERBANK,HARCOURT WERRY/CONNOLLY,,Non-Injury Crash,No,2000,0,East,0,0,0,Flat,0,,0,,0,Twilight,1940700,0,0,0,0,0,0,0,0,0,,0,0,Wellington Region,Nil,Off road,Unsealed,0,0,0,0,50,0,None,0,0,,46,Lower Hutt City,Nil,0,0,0,0,0,0,Urban,1,0,1,Light rain,Null;;;;;;;;;;
1462316,5098332,671016,,598312,0,,0,0,,Null,2012,SH 1S,STATION ROAD,,Serious Crash,Yes,2011,,East,,0,,Flat,,,,,,Bright sun,2771601,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,1,,80,,Null,1,0,,64,Timaru District,Stop,,,,,1,0,Open,0,,,Fine,Null;;;;;;;;;;
1752481,5918276,671017,,515002,0,0,0,1,0,North,2012,HUIA ROAD,GREAT NORTH ROAD,,Non-Injury Crash,No,2011,0,South,0,0,0,Flat,0,,0,,0,Overcast,396600,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,76,Auckland,Nil,0,0,0,0,1,0,Urban,0,1,0,Fine,Null;;;;;;;;;;
"1881601.5788,5828911.1576,671018,,536810,0,,0,2,,Null,2020,""OCEANVIEW ROAD, MOUNT MAUNGANUI, TAURANGA CITY 3116"",SUTHERLAND AVENUE,,Non-Injury Crash,No,2019,,South,,0,,Flat,,,,,,Bright sun,1196300,0,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,23,Tauranga City,Stop,,,,,0,0,Urban,0,,,Fine,Null";;;;;;;;;;
1880964,5829397,671019,,536810,0,,0,2,,Null,2013,BANKS AVENUE,MAUNGANUI ROAD,,Non-Injury Crash,No,2012,,West,,0,,Flat,,,,,,Overcast,1195200,0,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,23,Tauranga City,Give way,,,,,0,0,Urban,0,,,Fine,Null;;;;;;;;;;
